name,tier1_aroma,tier2_taste,tier3_mouthfeel,leaves,sources,key_pairings,pairing_principles,chemistry_notes
pasta sauce,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,extra-lean beef king sooper|extra lean beef|mozzarella|ricotta|italian sausage|light ricotta cheese|cheese ravioli,,"confidence=low (taste=GNN default, needs human review)"
tomato ketchup,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,chilli sauce|brown sauce|extra lean beef|sesame seed hamburger|worcester sauce|sweet chilli sauce|beef pattie,,"confidence=low (taste=GNN default, needs human review)"
low-fat sour cream,,bitter|sour|umami,oily,,ai-draft;gnn-v3+flavordb,weight mushroom|dillweed|low-fat milk|soy crumble|low-fat chicken broth|vegetarian refried bean|boiling water,,"confidence=low (taste=GNN default, needs human review)"
mussel,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,saffron|white wine|crusty bread|seafood stock|monkfish|shrimp|littleneck clam,,"confidence=low (taste=GNN default, needs human review)"
steak sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,leaf lettuce leave|ketchup|tomato-vegetable juice cocktail|pickapeppa sauce|beef stock|maple syrup|corn syrup,,"confidence=low (taste=GNN default, needs human review)"
soymilk,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,soy margarine|vegan sugar|soy yogurt|nutritional yeast|flaxseed|soy cheese|wheat pastry flour,,"confidence=low (taste=GNN default, needs human review)"
sunflower oil,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,root ginger|bacon rasher|sweet corn|chilli pepper|bean sprout|mixed pepper|red chilli pepper,,"confidence=low (taste=GNN default, needs human review)"
tahini,,,,,ai-draft;gnn-v3+flavordb,chickpea|garbanzo bean|pita bread|chili oil|sichuan peppercorn|wheat pita|miso,,
celery salt,woody,,crystalline,,ai-draft;gnn-v3+flavordb,clamato juice|box wheat chex|worcestershire sauce|liquid smoke|tomato juice|onion salt|beef brisket,,
chilie,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,galangal|jack cheese|tamarind juice|guajillo chilie|fish sauce|lemongrass|palm sugar,,"confidence=low (taste=GNN default, needs human review)"
corn kernel,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,poblano chilie|yellow cornmeal|cilantro|cumin|tasty cheese|stone- yellow cornmeal|poblano pepper,,"confidence=low (taste=GNN default, needs human review)"
white fish,,bitter|sour|umami,tender,,ai-draft;gnn-v3+flavordb,lemon wedge|crumbled saffron thread|kaffir lime|long red chili pepper|steamed rice|cajun spice mix|fish sauce,,"confidence=low (taste=GNN default, needs human review)"
sunflower seed,,sour|sweet|umami,crunchy,,ai-draft;gnn-v3+flavordb,beef flavor|chicken-flavored ramen noodle|ramen noodle|broccoli slaw|chicken ramen noodle|broccoli coleslaw|raisin,,"confidence=low (taste=GNN default, needs human review)"
graham cracker,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,milk chocolate frosting|chocolate icing|chocolate frosting|french vanilla pudding|candied fruit|dream whip|blueberry pie mix,,"confidence=low (taste=GNN default, needs human review)"
almond extract,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,chocolate fudge cake mix|cherry pie filling|lemon extract|whipping|maraschino cherry juice|cream of tartar|almond paste,,"confidence=low (taste=GNN default, needs human review)"
syrup,,bitter|sour|umami,viscous,,ai-draft;gnn-v3+flavordb,fluid tequila|salted|popcorn|orange curacao|orange blossom water|cinnamon syrup|onion,,"confidence=low (taste=GNN default, needs human review)"
cornflour,,sweet,powdery,,ai-draft;gnn-v3+flavordb,sweet biscuit crumb|soya sauce|custard powder|vanilla essence|ginger-garlic|chilli sauce|light soya sauce,,
lemon wedge,,sour,juicy,,ai-draft;gnn-v3+flavordb,tartar sauce|live lobster|catfish fillet|firm white fish|white fish|littleneck clam|shrimp,,
marinade,,,,,ai-draft;gnn-v3+flavordb,fry|soy sauce|oyster sauce|seasoning sauce|sake|peanut sauce|sesame oil,,
yellow cake mix,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,cherry pie filling|vanilla instant pudding|instant vanilla pudding|vanilla pudding|instant coconut pudding|vanilla instant pudding mix|pineapple,,"confidence=low (taste=GNN default, needs human review)"
brandy,fruity,,,fragrant|bread|woody|sweet|baked|almond|lard,ai-draft;gnn-v3+flavordb,beef suet|green peppercorn|chicken liver|rose wine|shrimp shell|peel|eggnog,,
green chili pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,cilantro freshly|mango powder|paneer cheese|enchilada sauce|ghee|corn tortilla|asafoetida powder,,"confidence=low (taste=GNN default, needs human review)"
simple syrup,,bitter|sour|umami,viscous,,ai-draft;gnn-v3+flavordb,gin|orange bitters|lemon wheel|beefeater|ginger beer|lime wheel|tequila,,"confidence=low (taste=GNN default, needs human review)"
splenda sugar substitute,,sweet,crystalline,,ai-draft;gnn-v3+flavordb,egg beater|light vanilla soymilk|protein powder|nonfat milk|unsweetened applesauce|egg substitute|vanilla whey,,
tomato soup,fruity,,,,ai-draft;gnn-v3+flavordb,beef|hamburger|green pepper|hamburg|chili beef soup|worcestershire sauce|gelatine,,
caraway seed,,bitter|sour,crunchy,,ai-draft;gnn-v3+flavordb,rye flour|dark rye flour|red cabbage|rye bread|green cabbage|gluten flour|kielbasa sausage,,
chili paste,,bitter|sour|umami,viscous,,ai-draft;gnn-v3+flavordb,fish sauce|hoisin|rice vinegar|glass noodle|chinese black vinegar|lemongrass|sesame oil,,"confidence=low (taste=GNN default, needs human review)"
palm sugar,,sweet,crystalline,,ai-draft;gnn-v3+flavordb,fish sauce|tamarind juice|galangal|lemongrass|shrimp paste|cilantro root|candlenut,,
rice noodle,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,fish sauce|bean sprout|prawn|thai basil|lemongrass|black soy sauce|tamarind paste,,"confidence=low (taste=GNN default, needs human review)"
fennel seed,,sour|sweet|umami,crunchy,,ai-draft;gnn-v3+flavordb,black peppercorn|nigella seed|white peppercorn|anise seed|onion seed|pork fatback|sausage casing,,"confidence=low (taste=GNN default, needs human review)"
fruit,,sour|sweet|umami,juicy,,ai-draft;gnn-v3+flavordb,roll sugar cookie|sugar cookie|flavored yogurt|fruit juice|sweet biscuit crumb|refrigerated sugar cookie dough|honeydew melon,,"confidence=low (taste=GNN default, needs human review)"
shortening,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,pecan|vinegar|buttermilk|pineapple|powdered sugar|coconut|margarine,,"confidence=low (taste=GNN default, needs human review)"
egg substitute,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,nonfat buttermilk|vanilla nonfat yogurt|unsweetened applesauce|nonfat milk|low-fat swiss cheese|vegan sugar|lemon glaze,,"confidence=low (taste=GNN default, needs human review)"
unsweetened coconut milk,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,red curry|fish sauce|green curry|chinese chili sauce|lemongrass|habanero sauce|curry powder,,"confidence=low (taste=GNN default, needs human review)"
pork tenderloin,fatty,sour,tender,,ai-draft;gnn-v3+flavordb,soy sauce|bottled ginger|sesame dressing|dark sesame oil|hoisin|chicken stock|tomato,,
coriander powder,fatty,sweet,powdery,,ai-draft;gnn-v3+flavordb,red chili powder|mango powder|ginger-garlic|ginger paste|cumin powder|ghee|fennel powder,,
white bread,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,romesco sauce|bulk sausage|pork sausage|sausage|mustard|deli turkey|garlic,,"confidence=low (taste=GNN default, needs human review)"
bourbon,fruity,,,,ai-draft;gnn-v3+flavordb,orange bitters|bread pudding|whiskey sauce|orange twist|lemon twist|salted|ginger beer,,
coconut cream,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,green curry|red curry|galangal|fish sauce|kaffir lime|long red chilie|coriander root,,"confidence=low (taste=GNN default, needs human review)"
romaine lettuce,,sour|umami,,,ai-draft;gnn-v3+flavordb,caesar salad dressing|caesar dressing|anchovy|dressing|avocado|oscar mayer bacon|red wine vinegar,,
cream-style,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,corn muffin|kernel corn|barbecue beef|barbecue pork|yellow cornmeal|cornbread mix|cornmeal mix,,"confidence=low (taste=GNN default, needs human review)"
cumin powder,woody,,powdery,,ai-draft;gnn-v3+flavordb,mango powder|coriander powder|fennel powder|red chili powder|ginger paste|ginger-garlic|mustard oil,,
marjoram,green,,,woody|herbal|peppery|warm|sweet|spicy,ai-draft;gnn-v3+flavordb,flour|garlic|onion|basil|thyme|rosemary|tomato paste,"terpene overlap (terpinen-4-ol) bonds it to thyme, rosemary, oregano","dominant=terpinen-4-ol (PubChem CID verify); + sabinene hydrate; CIDs: sabinene=18818, terpinen-4-ol=11230"
weight cream cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,eggs at|weight white chocolate|weight chocolate|weight white chocolate chip|weight bittersweet chocolate|weight semisweet chocolate|crumb topping,,"confidence=low (taste=GNN default, needs human review)"
chorizo sausage,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,asadero cheese|oaxaca cheese|manchego cheese|powdered saffron|four cheese|spanish olive oil|saffron rice,,"confidence=low (taste=GNN default, needs human review)"
crabmeat,,sour|sweet|umami,tender,,ai-draft;gnn-v3+flavordb,english cheese spread|cocktail sauce|english cheese|cream-style horseradish|shrimp|mayonnaise|seafood sauce,,"confidence=low (taste=GNN default, needs human review)"
dipping sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,rice paper|fish sauce|soy sauce|rice vinegar|rice vermicelli|egg roll|sesame oil,,"confidence=low (taste=GNN default, needs human review)"
cake flour,,sweet,powdery,,ai-draft;gnn-v3+flavordb,cream of tartar|egg white|buttermilk|baking soda|hickory nut|baking powder|lemon flavoring,,
red potatoe,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,crab boil|corned beef brisket|baby carrot|shrimp boil|rosemary|light coconut milk|coconut oil,,"confidence=low (taste=GNN default, needs human review)"
semi-sweet chocolate,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,butterscotch|cake paraffin|white baking|boiling water|chili powder|cherry pie filling|plain yogurt,,"confidence=low (taste=GNN default, needs human review)"
white cake,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,blackberry wine|cream of coconut|instant coconut cream pudding|lemon frosting|strawberry flavored|vanilla frosting|strawberry soda,,"confidence=low (taste=GNN default, needs human review)"
butternut squash,,bitter|sour|umami,oily,,ai-draft;gnn-v3+flavordb,sage|vegetable stock|seeded serrano chile|sage leaf|chicken stock|leek|bechamel,,"confidence=low (taste=GNN default, needs human review)"
chili bean,,bitter|sour|umami,crunchy,,ai-draft;gnn-v3+flavordb,kidney bean|corn chip|tomato sauce|beef|fritos corn chip|tomato juice|dark red kidney bean,,"confidence=low (taste=GNN default, needs human review)"
jumbo shrimp,,sour|sweet|umami,tender,,ai-draft;gnn-v3+flavordb,pineapple salsa|lime juiced|brown sugar|maple syrup|chinese cooking wine|boiling water|vegetable,,"confidence=low (taste=GNN default, needs human review)"
chili oil,,bitter|sour|umami,oily,,ai-draft;gnn-v3+flavordb,sichuan peppercorn|rice vinegar|szechuan peppercorn|chinese black vinegar|soy sauce|black vinegar|black soy sauce,,"confidence=low (taste=GNN default, needs human review)"
ginger ale,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,pineapple juice|lemonade|sherbet|lime sherbet|pineapple sherbet|cranberry juice cocktail|cranberry juice,,"confidence=low (taste=GNN default, needs human review)"
white chocolate chip,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,milk chocolate chip|craisin|baking soda|peppermint candie|crispy rice cereal|boiling water|cherry pie filling,,"confidence=low (taste=GNN default, needs human review)"
wine vinegar,,sour,,,ai-draft;gnn-v3+flavordb,salad oil|chicken|anchovy|soy sauce|parmesan|chicken stock|beef,,
dark sesame oil,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,bottled ginger|rice vinegar|soy sauce|chili garlic|julienne-cut carrot|chili paste with garlic|sesame,,"confidence=low (taste=GNN default, needs human review)"
milk chocolate chip,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,white chocolate chip|golden grahams cereal|semisweet chocolate chip|chocolate layer|butterscotch chip|white almond bark|white baking chip,,"confidence=low (taste=GNN default, needs human review)"
poppy seed,,sour|sweet|umami,crunchy,,ai-draft;gnn-v3+flavordb,coconut pudding|coconut instant pudding|instant coconut pudding|lemon cake mix|lemon glaze|instant coconut cream pudding|swiss cheese,,"confidence=low (taste=GNN default, needs human review)"
chocolate cake,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,coconut pecan frosting|evaporated milk|butterscotch topping|chocolate|chocolate pudding|butterfinger|caramel ice cream topping,,"confidence=low (taste=GNN default, needs human review)"
bean sprout,green,sweet,crunchy,,ai-draft;gnn-v3+flavordb,rice noodle|rice vermicelli noodle|fish sauce|egg roll skin|soy sauce|egg roll|rice vermicelli,,
chocolate pudding,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,chocolate cake mix|vanilla pudding|whipped topping|chocolate cake|cake mix|kahlua|oreo cookie,,"confidence=low (taste=GNN default, needs human review)"
enchilada sauce,,sour|umami,smooth,,ai-draft;gnn-v3+flavordb,corn tortilla|flour tortilla|green chilie|blend cheese|beef|corn chip|cheese blend,,
green cabbage,green,,,,ai-draft;gnn-v3+flavordb,celery seed|red cabbage|apple cider vinegar|caraway seed|white corn tortilla|brisket of beef|carrot,,
pork shoulder,fatty,sour,tender,,ai-draft;gnn-v3+flavordb,guajillo chili|sour orange juice|guajillo chilie|achiote paste|mexico chile|ancho chili|bay leaf,,
alfredo sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,parmesan|italian cheese blend|cheese ravioli|lasagna noodle|broccoli carrots cauliflower|parmesian cheese|mozzarella,,"confidence=low (taste=GNN default, needs human review)"
serrano pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,maui onion|cilantro|asadero cheese|lime|chayote squash|lime juice|clamato juice,,"confidence=low (taste=GNN default, needs human review)"
sweet italian sausage,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,italian plum tomatoe|broccoli rabe|pecorino romano cheese|bowtie pasta|cubanelle pepper|ricotta|rigatoni pasta,,"confidence=low (taste=GNN default, needs human review)"
tequila,,,,,ai-draft;gnn-v3+flavordb,triple sec|limeade|lime juice|orange liqueur|simple syrup|lime wheel|lime wedge,,
fenugreek,fatty,sour,,maple|curry|caramel|nutty|sweet,ai-draft;gnn-v3+flavordb,asafoetida powder|mustard oil|tamarind pulp|curry|onion seed|nigella seed|red chilie,sotolone is the curry-maple backbone; ties to mustard/tamarind masalas,dominant=sotolone (PubChem CID verify); maple/curry lactone; CIDs: sotolone=62835
low-fat buttermilk,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,reduced-calorie whipped topping|baking soda|egg substitute|canola mayonnaise|ripe banana|baking powder|yellow cornmeal,,"confidence=low (taste=GNN default, needs human review)"
macaroni,,,,odorless|bitter,ai-draft;gnn-v3+flavordb,mozzarella|basil|hamburger|tomato sauce|mushroom|ham|cayenne pepper,,
onion soup,green,,,,ai-draft;gnn-v3+flavordb,beef bouillon soup|cream of mushroom soup|beef roast|apricot preserve|chuck roast|beef consomme|roast,,
salad dressing,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,lettuce|apricot preserve|torn iceberg lettuce|sweet pickle juice|bacon bit|mushroom|celery,,"confidence=low (taste=GNN default, needs human review)"
crunchy peanut butter,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,almond bark|sweet chilli sauce|cake paraffin|satay sauce|rice krispie|chocolate|chilli sauce,,"confidence=low (taste=GNN default, needs human review)"
gelatin,,,,,ai-draft;gnn-v3+flavordb,boiling water|water boiling|raspberry puree|angel cake|tomato|chicken|vanilla creme,,
ginger paste,,sour|sweet|umami,viscous,,ai-draft;gnn-v3+flavordb,red chili powder|coriander powder|mustard oil|turmeric|cumin powder|fenugreek leave|fennel powder,,"confidence=low (taste=GNN default, needs human review)"
light coconut milk,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,red curry|green curry|fish sauce|curry powder|lime rind|thai chili paste|bottled ginger,,"confidence=low (taste=GNN default, needs human review)"
red curry,,,,,ai-draft;gnn-v3+flavordb,coconut milk|fish sauce|light coconut milk|unsweetened coconut milk|lime leave|palm sugar|lime leaf,,
vanilla pudding,woody,sweet|umami,,,ai-draft;gnn-v3+flavordb,peach juice|chocolate pudding|reserved juice|yellow cake|mandarin orange|vanilla wafer|yellow cake mix,,"confidence=low (taste=GNN default, needs human review)"
beef stew meat,,bitter|sour|umami,tender,,ai-draft;gnn-v3+flavordb,beef stock|wheat egg noodle|carrot|tiny pea|bay leaf|red wine|browning sauce,,"confidence=low (taste=GNN default, needs human review)"
mayo,,,,,ai-draft;gnn-v3+flavordb,bean dip|crabmeat|mixed veggie|vegetable soup|jalapeno bean|vegetable soup mix|bacon bit,,
sugar snap pea,,sour|sweet|umami,crystalline,,ai-draft;gnn-v3+flavordb,baby corn|rice vinegar|fry|italian zesty|sesame oil|long red chilie|chili garlic,,"confidence=low (taste=GNN default, needs human review)"
tamarind paste,,umami,viscous,,ai-draft;gnn-v3+flavordb,fish sauce|palm sugar|jaggery|red chilie|asafoetida powder|black mustard seed|shrimp paste,,
soya sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,cornflour|oyster sauce|chinese wine|chilli sauce|red capsicum|ginger-garlic|long bean,,"confidence=low (taste=GNN default, needs human review)"
turbinado sugar,,sweet,crystalline,,ai-draft;gnn-v3+flavordb,egg wash|worcestershire sauce|chili powder|boiling water|vegetable|cream of tartar|graham cracker crumb,,
adobo sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,chipotle|fresco cheese|cumin|chipotle chili pepper|peeled sweet potato|cilantro|black bean,,"confidence=low (taste=GNN default, needs human review)"
seasoning salt,,sour|sweet|umami,crystalline,,ai-draft;gnn-v3+flavordb,box wheat chex|english cheese spread|maple syrup|boiling water|o'brien potatoe|worcestershire sauce|browning sauce,,"confidence=low (taste=GNN default, needs human review)"
corn oil,fatty,,oily,fragrant|bread|woody|sweet|baked|almond|orange,ai-draft;gnn-v3+flavordb,popping corn|boneless pork|very milk|onion seed|chicken flavor|chipotle chili pepper|pared apple,,
grain mustard,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,cornichon|brown sugar|chili powder|chili sauce|powdered sugar|salad oil|plain yogurt,,"confidence=low (taste=GNN default, needs human review)"
bbq sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,liquid smoke|pork sparerib|country-style pork rib|wheat bun|rub|apple cider vinegar|green chilie,,"confidence=low (taste=GNN default, needs human review)"
fontina cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,parmesan|peeled sweet potato|portobello|chicken|basil chiffonade|bechamel sauce|freshly black pepper,,"confidence=low (taste=GNN default, needs human review)"
wheat pastry flour,,sour|sweet|umami,powdery,,ai-draft;gnn-v3+flavordb,soymilk|cane juice|unsweetened applesauce|baking soda|freshly cardamom|soy yogurt|cinnamon baking chip,,"confidence=low (taste=GNN default, needs human review)"
almond milk,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,chia seed|maca powder|coconut sugar|flaxseed|coconut flour|protein powder|hemp seed,,"confidence=low (taste=GNN default, needs human review)"
chunky peanut butter,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,thai chili paste|butterfinger|almond bark|peanut|quick-cooking oatmeal|butterscotch chip|chocolate,,"confidence=low (taste=GNN default, needs human review)"
orange rind,fruity,sour,juicy,,ai-draft;gnn-v3+flavordb,orange juice|brazil nut|chicken|soy sauce|tomato|chicken stock|grand marnier,,
porcini,,,,,ai-draft;gnn-v3+flavordb,boiling water|mushroom broth|shiitake|morel mushroom|crimini mushroom|wild mushroom|mushroom stock,,
semisweet chocolate chip,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,jif creamy|butterscotch chip|white baking|condensed milk|white baking chip|milk chocolate chip|baking,,"confidence=low (taste=GNN default, needs human review)"
sweet corn,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,chilli pepper|edam cheese|knob butter|chilli sauce|sunflower oil|soured cream|chicken fillet,,"confidence=low (taste=GNN default, needs human review)"
cream-style corn,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,kernel corn|corn muffin|regular corn|cornmeal|cornbread|barbecue beef|cornmeal mix,,"confidence=low (taste=GNN default, needs human review)"
onion salt,green,,crystalline,,ai-draft;gnn-v3+flavordb,liquid smoke|box wheat chex|beef brisket|garlic salt|celery salt|barbecue beef|barbecue pork,,
pastry,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,guava paste|thyme|swiss cheese|feta|mushroom|bacon|shallot,,"confidence=low (taste=GNN default, needs human review)"
asiago cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,basil chiffonade|parmesan|portabella mushroom|spinach|beef|balsamic glaze|fontina cheese,,"confidence=low (taste=GNN default, needs human review)"
butterscotch chip,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,rice krispie|graham cracker crumb|mein noodle|spanish peanut|peanut butter|semisweet chocolate chip|condensed milk,,"confidence=low (taste=GNN default, needs human review)"
cane sugar,,sweet,crystalline,,ai-draft;gnn-v3+flavordb,full-fat coconut milk|freshly cardamom|white peache|chili powder|seltzer water|boiling water|worcestershire sauce,,
corn flake,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,hash brown potatoe|cream of chicken soup|red cinnamon|sour cream|white syrup|cinnamon candie|cornstarch,,"confidence=low (taste=GNN default, needs human review)"
cranberry sauce,fruity,,smooth,,ai-draft;gnn-v3+flavordb,turkey gravy|raspberry jello|chili sauce|boiling water|rolled pork|raspberry gelatin|chicken,,
raisin,fruity,,,peach|wine|brandy|waxy|oily|fatty|rum,ai-draft;gnn-v3+flavordb,cinnamon|candied fruit|applesauce|walnut|sunflower seed|whiskey sauce|baking soda,,
caramel sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,salted|chocolate sauce|caramel ice cream|freshly whipped cream|vanilla ice cream|fudge sauce|vanilla sauce,,"confidence=low (taste=GNN default, needs human review)"
cracker crumb,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,squash|chili powder|boiling water|green chilie|chili sauce|vegetable|italian sausage,,"confidence=low (taste=GNN default, needs human review)"
cranberry juice,fruity,,smooth,,ai-draft;gnn-v3+flavordb,ginger ale|raspberry vodka|vodka|malibu coconut rum|triple sec|melon liqueur|raspberry sherbet,,
nonfat sour cream,,bitter|sour|umami,oily,,ai-draft;gnn-v3+flavordb,soy crumble|corn tortilla chip|egg substitute|worcestershire sauce|no-salt|tabasco sauce|brown sugar,,"confidence=low (taste=GNN default, needs human review)"
pearl barley,,sour|sweet|umami,crisp,,ai-draft;gnn-v3+flavordb,beef soup bone|lentil|beef bouillon granule|porcini|bay leaf|beef stock|turkey carcass,,"confidence=low (taste=GNN default, needs human review)"
pumpkin,green,,,,ai-draft;gnn-v3+flavordb,potato|ackee|breadfruit|scotch bonnet|pumpkin pie spice|pecan|nutmeg,,
shiitake mushroom,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,oyster mushroom|dark sesame oil|udon noodle|vegetarian beef|crumbled gorgonzola|sesame oil|shaoxing wine,,"confidence=low (taste=GNN default, needs human review)"
white balsamic vinegar,,sour,,,ai-draft;gnn-v3+flavordb,chicken|chicken stock|extra-virgin olive oil|soy sauce|mushroom|beef|grapeseed oil,,
baby corn,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,asian chili-garlic|stir-fry sauce|oyster sauce|barbecued pork|sesame oil|coriander root|red curry,,"confidence=low (taste=GNN default, needs human review)"
dill pickle,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,pickle juice|mayonnaise|dill pickle juice|sesame seed hamburger|mustard|tartar sauce|cocktail onion,,"confidence=low (taste=GNN default, needs human review)"
flat-leaf,,,crisp,,ai-draft;gnn-v3+flavordb,extra-virgin olive oil|freshly black pepper|boiling water|piquillo pepper|red pepper|black olive tapenade|romano bean,,
cream of celery soup,woody,,smooth,,ai-draft;gnn-v3+flavordb,peg corn|chicken|white shoepeg corn|clam chowder|french style green bean|fryer|shoe peg corn,,
water chestnut,,,crunchy,,ai-draft;gnn-v3+flavordb,vegetable soup|vegetable soup mix|bean sprout|mayonnaise|soy sauce|pea pod|baby corn,,
golden raisin,fruity,,,,ai-draft;gnn-v3+flavordb,beef suet|crumbled saffron thread|tomato|chicken|pine nut|crystalized ginger|candied fruit,,
gouda cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,baby romaine lettuce|country white bread|beef|olive tapenade|shrimp|sweet corn|cavatappi pasta,,"confidence=low (taste=GNN default, needs human review)"
lump crabmeat,,sour|sweet|umami,tender,,ai-draft;gnn-v3+flavordb,crab boil seasoning|remoulade sauce|seafood stock|tartar sauce|creole mustard|canola mayonnaise|butter cracker,,"confidence=low (taste=GNN default, needs human review)"
sherry wine,,sweet|sour|umami,,,ai-draft;gnn-v3+flavordb,soy sauce|mushroom|tomato|oyster sauce|chinese mushroom|beef|pepper oil,,"confidence=low (taste=GNN default, needs human review)"
sherry wine vinegar,,sour,,,ai-draft;gnn-v3+flavordb,italian parsley leave|endive lettuce|walnut oil|shallot|romesco sauce|piquillo pepper|coarse kosher salt,,
turkey bacon,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,low-fat swiss cheese|wheat sandwich roll|leaf lettuce leave|wheat english muffin|multi-grain bread|brown sugar|boiling water,,"confidence=low (taste=GNN default, needs human review)"
grapeseed oil,,,oily,,ai-draft;gnn-v3+flavordb,celtic sea salt|blanched almond flour|coconut flour|dark chili powder|cajun spice|white balsamic vinegar|rice vinegar,,
italian bread,woody,,,,ai-draft;gnn-v3+flavordb,provolone cheese|gaeta olive|miracle whip light dressing|thin tomato|pepperoncini pepper|cherry pepper|mozzarella,,
lemon jello,,sour|sweet|umami,juicy,,ai-draft;gnn-v3+flavordb,boiling water|lime jello|dream whip|corned beef|cherry jello|pineapple|pineapple juice,,"confidence=low (taste=GNN default, needs human review)"
monterey jack cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,green chilie|avocado dip|flour tortilla|corn tortilla|picante sauce|green chile pepper|cumin,,"confidence=low (taste=GNN default, needs human review)"
spaghetti,,,,,ai-draft;gnn-v3+flavordb,parmesan|tomato paste|basil|mozzarella|oregano|green pepper|mushroom,,
turkey sausage,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,chicken stock|brown sugar|red bean|boiling water|chili sauce|instant white rice|tomato,,"confidence=low (taste=GNN default, needs human review)"
apricot preserve,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,onion soup|apricot brandy|onion soup mix|dressing|almond paste|rolled pork|broiler-fryer chicken,,"confidence=low (taste=GNN default, needs human review)"
coarse kosher salt,,sour|sweet|umami,crystalline,,ai-draft;gnn-v3+flavordb,golden brown sugar|italian parsley leave|grain dijon mustard|low-salt chicken broth|sherry wine vinegar|extra-virgin olive oil|maple sugar,,"confidence=low (taste=GNN default, needs human review)"
freshly cracked black pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,chayote squash|hearty red wine|course salt|beef shoulder|red bliss potatoe|extra-virgin olive oil|veal stock,,"confidence=low (taste=GNN default, needs human review)"
salt pork,,sour|sweet|umami,crystalline,,ai-draft;gnn-v3+flavordb,yellow pea|navy bean|dry navy bean|pigeon pea|bean|white bean|red bean,,"confidence=low (taste=GNN default, needs human review)"
